process,ts_start,ts_end,algorithm,data_type,num_of_rows,num_of_dimensions,query_info,run_time,mem_usage
query,2019-06-11__03:13:34,2019-06-11__03:13:35,kmppts,fc,1000,3,k : 10 | time intvl : 10-100,0:00:00.753483,107.945984
query,2019-06-11__03:15:20,2019-06-11__03:15:21,kmppts,fc,1000,3,k : 5 | time intvl : 10-1000,0:00:00.270010,87.220224
query,2019-06-11__03:15:43,2019-06-11__03:15:43,kmppts,fc,1000,3,k : 5 | time intvl : 10-1000,0:00:00.281270,86.695936
query,2019-06-11__03:17:15,2019-06-11__03:17:16,kmppts,fc,1000,3,k : 3 | time intvl : 10-200,0:00:00.213993,86.433792
query,2019-06-11__03:17:23,2019-06-11__03:17:24,kmppts,fc,1000,3,k : 3 | time intvl : 10-200,0:00:00.188870,86.433792
query,2019-06-11__03:17:40,2019-06-11__03:17:40,kmppts,fc,1000,3,k : 5 | time intvl : 10-200,0:00:00.198466,86.433792
query,2019-06-11__03:17:42,2019-06-11__03:17:42,kmppts,fc,1000,3,k : 5 | time intvl : 10-200,0:00:00.196557,86.433792
precomputing,2019-06-11__03:19:18,2019-06-11__03:28:33,kmmpti-no-rsl,fc,1000,5,-,0:09:15.305610,150.196224
precomputing,2019-06-20__21:22:51,2019-06-20__22:49:38,kmmpti-no-rsl,i,10000,3,-,1:26:47.197060,441.516032
precomputing,2019-06-20__23:57:06,2019-06-21__13:27:11,kmppti-no-thread,i,10000,3,-,13:30:05.529368,975.007744
precomputing,2019-06-21__17:15:31,2019-06-22__01:00:26,kmmpti-no-rsl,i,20000,3,-,7:44:54.969884,1237.962752
